id,title,body,tagname_list,author.id,added_at
8385,What is modern social problems?,<p>I am doing a project on an career that you want to do when you get out of high school and mine is been a social worker.</p>,socialwoker psychology,5209,2015-03-03 11:30:18.508158
12862,What kind of college can u go to  for a teacher,<p>Because i want to be one</p>,colleg nures,7929,2015-10-28 14:38:59.299967
9382,How was your road on becoming a doctor?,"<p>So I'm in the 9th grade ( 3rd form here) and my name is Ross and I'm interested in medicine ( a pediatrician to be exact )but the thing is when I do research on this career it just really confusing so I'm asking here. Anyone studying medicine or is already a doctor I need to ask what subjects do I need to continue ( i heard about physics but physics is not my strong suit )and is the entire process hard and stressful also how long does it take and on what. Oh and what do colleges and medical schools and require and could you recommend some schools please. Another thing if you can is to list some other careers I can get into if I decide to change my mind  ( I'm going to do chemistry,physics,biology,history,Spanish,maths,english language and English literature
Thanks a bunch</p>",medicine pediatrics,5933,2015-04-22 18:23:25.648638
10861,What classes would you need to take to achieve the career of being a detective,<p>I am  not trying to take classes that i wont need it the future and that i wont be interested in and i would also like to solve murder mysteries !</p>,detective police-officer homicide-detective,7003,2015-06-25 18:42:18.533926
1047,What is the day to day experience for a OBGYN?,<p>I am a sophomore wanting to learn more about what a OBGYN does everyday</p>,health-care doctor medicine experience obgyn,228,2012-09-07 20:39:21.625405
10005,"Sir, i am having my class 12th this year with pcm + computer as subject. i am very much interested in the fields related to computers(specially IT). I want to have my career in this field. but i am really confused as i am an average student.","<p>I have not prepared for exam such as IIT so m confused that wether i will be able to succeed in this field. nd what will b my salary, nd which degree should i opt for.? plz ans my queries.</p>",cs computer dveloper it engineer,6415,2015-05-15 05:24:32.756894
395,What is it like to be in the emergency room helping people with injury?,<p>I want to know how does it feel like to help people with high injury . </p>,doctor nurse emergency,259,2012-01-25 15:46:11.870057
10081,"After college, what is the best way to get a job at a law firm?",<p>I am still in High School but i want to plan my life as a lawyer early in my life.</p>,government district-attorney internship lawyer early-action law,5763,2015-05-18 10:23:02.175138
12137,What is one of the best colleges to go to for Physical therapy?,<p>As I have been looking for colleges and what I want to major in I struggle with finding a college that is perfect for my needs. In Texas which school would be best to study Physical Therapy? </p>,therapy physical,7487,2015-10-21 14:42:22.046917
4297,What courses do you recommend in high school or college to become a successful biomedical engineer?,<p>I am interested in biomedical engineering and would like to take the right courses to be successful. </p>,courses college high-school biomedical-engineering,2933,2014-04-08 08:40:55.891093
