id,account_type,date_joined,headline,industry,location,answer_count_total,karma_points,notification_setting,topics_followed
11,P,2011-12-27 22:02:04,,,,0,2,,[]
3,P,2011-10-05 16:49:21,,,,0,2,,[]
2,P,2011-10-05 16:35:19,,,,1,157,,[]
47,P,2011-12-26 00:00:00,,,,2,112,,[u'entrepreneurship']
49,P,2011-12-26 00:00:00,,,,2,192,,"[u'finance', u'investing', u'private-equity']"
30,P,2011-12-26 00:00:00,,,,1,32,,"[u'engineering', u'engineer']"
39,P,2011-12-26 00:00:00,,,,0,2,,[u'design']
19,P,2011-12-26 00:00:00,,,,0,2,,[]
22,P,2011-12-26 00:00:00,,,,1,52,,[u'politics']
55,P,2011-12-26 00:00:00,,,"Cambridge, MA",0,2,,"[u'science', u'genetics']"
27,P,2011-12-26 00:00:00,,,,0,2,,"[u'marketing', u'pr']"
56,P,2011-12-26 00:00:00,,,,1,82,,[u'technology']
28,P,2011-12-26 00:00:00,,,,0,2,,"[u'medicine', u'health-care']"
25,P,2011-12-26 00:00:00,,,,6,407,,"[u'health-care', u'health', u'international-development']"
35,P,2011-12-26 00:00:00,,,,1,127,,[u'technology']
29,P,2011-12-26 00:00:00,,,,2,192,,"[u'development', u'public-health']"
38,P,2011-12-26 00:00:00,,,,0,2,,[u'consulting']
33,P,2011-12-26 00:00:00,,,,0,2,,[u'fine-art']
46,P,2011-12-26 00:00:00,,,,0,2,,"[u'entrepreneurship', u'hospitality', u'hotels']"
52,P,2011-12-26 00:00:00,,,,1,32,,"[u'marketing', u'design', u'advertising', u'pr']"
54,P,2011-12-26 00:00:00,,,,4,427,,[u'math']
48,P,2011-12-26 00:00:00,,,,2,247,,"[u'finance', u'investing', u'private-equity']"
50,P,2011-12-26 00:00:00,,,,0,2,,"[u'food', u'hospitality', u'restaurants']"
12,P,2011-12-26 00:00:00,,,,0,2,,[u'design']
83,S,2012-01-01 00:00:00,,,,0,2,,[]
85,S,2012-01-01 00:00:00,,,,0,2,,[]
24,P,2011-12-26 00:00:00,,,,2,247,,"[u'politics', u'international-relations']"
16,P,2011-12-26 00:00:00,,,,2,122,,"[u'engineering', u'engineer']"
26,P,2011-12-26 00:00:00,,,,3,217,,"[u'law', u'lawyer']"
36,P,2011-12-26 00:00:00,,,,3,352,,"[u'veterinary', u'animals']"
43,P,2011-12-26 00:00:00,,,"Nashville, TN",0,2,,"[u'music', u'performing-arts']"
14,P,2011-12-26 00:00:00,,,,1,152,,[u'aviation']
45,P,2011-12-26 00:00:00,,,,0,2,,[u'entrepreneurship']
17,P,2011-12-26 00:00:00,,,,0,2,,[u'entrepreneurship']
53,P,2011-12-26 00:00:00,,,,1,92,,[u'nonprofit']
8,P,2011-12-12 09:25:46,,,,3,272,,[]
691,P,2012-09-09 22:33:40.058923,,,"San Francisco, CA",2,122,,[]
32,P,2011-12-26 00:00:00,,,,1,127,,[u'fine-art']
44,P,2011-12-26 00:00:00,,,,0,2,,"[u'finance', u'entrepreneurship', u'investing', u'venture-capital']"
9,S,2011-12-16 09:19:24,,,,0,32,,[]
31,P,2011-12-26 00:00:00,,,,2,307,,"[u'military', u'army']"
13,P,2011-12-26 00:00:00,,,,1,62,,[u'architecture']
57,P,2011-12-26 00:00:00,,,,2,127,,[u'technology']
40,P,2011-12-26 00:00:00,,,,0,2,N,"[u'engineering', u'engineer', u'energy']"
86,S,2012-01-01 00:00:00,,,,0,2,,[]
88,S,2012-01-01 00:00:00,,,,0,2,,[]
10,S,2011-12-26 22:02:44,,,,0,2,,[]
